Localidade;Cep
Lambari/MG ;37480-000
São Gonçalo do Sapucaí/MG ;37490-000
São José do Alegre/MG ;37510-000
Pedralva/MG ;37520-000
Brazópolis/MG ;37530-000
Santa Rita do Sapucaí/MG ;37540-000
Pouso Alegre/MG ;37560-000
Ouro Fino/MG ;37570-000
Monte Sião/MG ;37580-000
Jacutinga/MG ;37590-000
Cambuí/MG ;37600-000
Bom Repouso/MG ;37610-000
Munhoz/MG ;37620-000
Toledo/MG ;37630-000
Extrema/MG ;37640-000
Camanducaia/MG ;37650-000
Paraisópolis/MG ;37660-000
Consolação/MG ;37670-000
Gonçalves/MG ;37680-000
Sapucaí-Mirim/MG ;37690-000
Poços de Caldas/MG ;37710-000
Botelhos/MG ;37720-000
Campestre/MG ;37730-000
Bandeira do Sul/MG ;37740-000
Machado/MG ;37750-000
Carvalhópolis/MG ;37760-000
Caldas/MG ;37780-000
Ibitiúra de Minas/MG ;37790-000
Guaxupé/MG ;37800-000
Guaranésia/MG ;37810-000
Arceburgo/MG ;37820-000
Nova Resende/MG ;37860-000
Cabo Verde/MG ;37880-000
Muzambinho/MG ;37890-000
Delfinópolis/MG ;37910-000
São João Batista do Glória/MG ;37920-000
Capitólio/MG ;37930-000
Alpinópolis/MG ;37940-000
São Sebastião do Paraíso/MG ;37950-000
São Tomás de Aquino/MG ;37960-000
Pratápolis/MG ;37970-000
Cássia/MG ;37980-000
Ibiraci/MG ;37990-000
Uberaba/MG ;38010-000
Uberaba/MG ;38020-000
Uberaba/MG ;38030-000
Uberaba/MG ;38040-000
Uberaba/MG ;38050-086
Uberaba/MG ;38060-000
Uberaba/MG ;38070-000
Uberaba/MG ;38080-000
Água Comprida/MG ;38110-000
Conceição das Alagoas/MG ;38120-000
Campo Florido/MG ;38130-000
Prata/MG ;38140-000
Veríssimo/MG ;38150-000
Nova Ponte/MG ;38160-000
Perdizes/MG ;38170-000
Sacramento/MG ;38190-000
Pirajuba/MG ;38210-000
Planura/MG ;38220-000
Fronteira/MG ;38230-000
Itapagipe/MG ;38240-000
Comendador Gomes/MG ;38250-000
São Francisco de Sales/MG ;38260-000
Campina Verde/MG ;38270-000
Iturama/MG ;38280-000
Carneirinho/MG ;38290-000
Gurinhatã/MG ;38310-000
Santa Vitória/MG ;38320-000
Ipiaçu/MG ;38350-000
Capinópolis/MG ;38360-000
Cachoeira Dourada/MG ;38370-000
Canápolis/MG ;38380-000
Centralina/MG ;38390-000
Uberlândia/MG ;38410-000
Monte Alegre de Minas/MG ;38475-000
Tupaciguara/MG ;38480-000
Araguari/MG;38450-000
Cascalho Rico/MG ;38460-000
Grupiara/MG ;38470-000
Tupaciguara/MG ;38480-000
Indianópolis/MG ;38490-000
Monte Carmelo/MG ;38500-000
Iraí de Minas/MG ;38510-000
Romaria/MG ;38520-000
Douradoquara/MG ;38530-000
Abadia dos Dourados/MG ;38540-000
Coromandel/MG ;38550-000
Coromandel/MG;38560-000
Guarda-Mor/MG ;38570-000
Unaí/MG;38624-000
Uruana de Minas/MG ;38630-000
Riachinho/MG ;38640-000
Bonfinópolis de Minas/MG ;38650-000
Buritis/MG ;38660-000
Arinos/MG ;38680-000
Formoso/MG ;38690-000
Patos de Minas/MG;38710-000
Lagoa Formosa/MG ;38720-000
